policy_id,section_number,category,policy_type,requirement_level,natural_language,original_text,references,has_references
HIPAA-0017,164.314(a)(c),Security Standards,Requirement,N/A,"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authoriz ed users.","Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authoriz ed users.",,No
HIPAA-0018,164.314(a)(1),Security Standards,Requirement,N/A,"Implement policies and procedures that go vern the r eceipt and remo val of har dware and electronic media that contain electronic protected health information into and outof a facility , and the mo vementof these items within the facility.","Implement policies and procedures that go vern the r eceipt and remo val of har dware and electronic media that contain electronic protected health information into and outof a facility , and the mo vementof these items within the facility.",,No
HIPAA-0019,164.314(a)(i),Security Standards,Requirement,N/A,"Implement policies and procedures to addr ess the final disposition of electronic protected health information, and/or the har dware or electronic media on which it is stored.","Implement policies and procedures to addr ess the final disposition of electronic protected health information, and/or the har dware or electronic media on which it is stored.",,No
HIPAA-0020,164.314(a)(ii),Security Standards,Requirement,N/A,Implement procedures for removal of electronic protected health information from electronic media befor e the media are made a vailable for r e-use.,Implement procedures for removal of electronic protected health information from electronic media befor e the media are made a vailable for r e-use.,,No
HIPAA-0021,164.314(a)(iii),Security Standards,Requirement,N/A,Maintain a r ecor d of the mo vements of har dware and electronic media and any person r esponsible therefore.,Maintain a r ecor d of the mo vements of har dware and electronic media and any person r esponsible therefore.,,No
HIPAA-0022,164.314(a)(iv),Security Standards,Requirement,N/A,"Create a r etrie vable, exact cop y of electronic protected health information, when needed, befor e mo vementof equipment.","Create a r etrie vable, exact cop y of electronic protected health information, when needed, befor e mo vementof equipment.",,No
HIPAA-0023,164.314(a)(1),Security Standards,Requirement,N/A,Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that ha ve been gr anted access rights as specified in § 164.,Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that ha ve been gr anted access rights as specified in § 164.,,No
HIPAA-0024,164.314(a)(i),Security Standards,Requirement,N/A,Assign a unique name and/or number for identifying and tracking user identity.,Assign a unique name and/or number for identifying and tracking user identity.,,No
HIPAA-0025,164.314(a)(ii),Security Standards,Requirement,N/A,Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an Emergency.,Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an Emergency.,,No
HIPAA-0026,164.314(a)(iii),Security Standards,Requirement,N/A,Implement electronic procedures that terminate an electronic session after a pr edetermined time of inactivity.,Implement electronic procedures that terminate an electronic session after a pr edetermined time of inactivity.,,No
HIPAA-0027,164.314(a)(iii),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0028,164.314(a)(iii),Security Standards,Requirement,N/A,"( enhanced display) page 12 of 89[68 FR 8376 , Feb.","( enhanced display) page 12 of 89[68 FR 8376 , Feb.",,No
HIPAA-0029,164.314(a)(iv),Security Standards,Requirement,N/A,Implement a mechanism to encr ypt and decr ypt electronic protected health information.,Implement a mechanism to encr ypt and decr ypt electronic protected health information.,,No
HIPAA-0030,164.314(a)(b),Security Standards,Requirement,N/A,"Implement har dware, software, and/or pr ocedur al mechanisms that r ecor d and examine activity in information systems that contain or use electronic protected health information.","Implement har dware, software, and/or pr ocedur al mechanisms that r ecor d and examine activity in information systems that contain or use electronic protected health information.",,No
HIPAA-0031,164.314(a)(1),Security Standards,Requirement,N/A,Implement policies and procedures to protect electronic protected health information from impr oper alter ation or destruction.,Implement policies and procedures to protect electronic protected health information from impr oper alter ation or destruction.,,No
HIPAA-0032,164.314(a)(2),Security Standards,Implementation Specification,N/A,Mechanism to authenticate electronic protected health information (Addressable).,Implementation specification: Mechanism to authenticate electronic protected health information (Addressable).,,No
HIPAA-0033,164.314(a)(2),Security Standards,Requirement,N/A,Implement electronic mechanisms to corr obor ate that electronic protected health information has not been alter ed or destr oyed in an unauthoriz ed manner.,Implement electronic mechanisms to corr obor ate that electronic protected health information has not been alter ed or destr oyed in an unauthoriz ed manner.,,No
HIPAA-0034,164.314(a)(d),Security Standards,Requirement,N/A,Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,,No
HIPAA-0035,164.314(a)(1),Security Standards,Requirement,N/A,Implement technical security measures to guar d against unauthoriz ed access to electronic protected health information that is being transmitted o ver an electronic communications network.,Implement technical security measures to guar d against unauthoriz ed access to electronic protected health information that is being transmitted o ver an electronic communications network.,,No
HIPAA-0036,164.314(a)(i),Security Standards,Requirement,N/A,Implement security measures to Ensure that electronically transmitted electronic protected health information is not impr operly modified without detection until disposed of.,Implement security measures to Ensure that electronically transmitted electronic protected health information is not impr operly modified without detection until disposed of.,,No
HIPAA-0037,164.314(a)(ii),Security Standards,Requirement,N/A,Implement a mechanism to encr ypt electronic protected health information whene ver deemed appropriate.,Implement a mechanism to encr ypt electronic protected health information whene ver deemed appropriate.,,No
HIPAA-0038,164.314(a)(1),Security Standards,Requirement,N/A,Standar d: Business associate contracts or other arrangements.,Standar d: Business associate contracts or other arrangements.,,No
HIPAA-0039,164.314(a)(1),Security Standards,Requirement,N/A,The contractor other arrangement required by§ 164.,The contractor other arrangement required by§ 164.,,No
HIPAA-0040,164.314(a)(i),Security Standards,Requirement,N/A,The contract must provide that the business associate will— (A)Comply with the applicable requirements of this subpart; (B)In accor dance with § 164.,The contract must provide that the business associate will— (A)Comply with the applicable requirements of this subpart; (B)In accor dance with § 164.,,No
HIPAA-0041,164.314(a)(2),Security Standards,Requirement,N/A,", Ensure that any subcontractors that create, receive, maintain, or transmit electronic protected health information on behalf of the business associate agr ee to comply with the applicable requirements of this subpart by entering into a contractor other arrangement that complies with this section; and (C)Report to the covered entity any security incidentof which it becomes aware, including breaches of unsecur ed protected health information as required by§ 164.",", Ensure that any subcontractors that create, receive, maintain, or transmit electronic protected health information on behalf of the business associate agr ee to comply with the applicable requirements of this subpart by entering into a contractor other arrangement that complies with this section; and (C)Report to the covered entity any security incidentof which it becomes aware, including breaches of unsecur ed protected health information as required by§ 164.",,No
HIPAA-0042,164.314(a)(2),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0043,164.314(a)(i),Security Standards,Requirement,N/A,"(C) ( enhanced display) page 13 of 89[68 FR 8376 , Feb.","(C) ( enhanced display) page 13 of 89[68 FR 8376 , Feb.",,No
HIPAA-0044,164.314(a)(i),Security Standards,Requirement,N/A,316 Policies and procedures and doc ument ation r equir ement s.,316 Policies and procedures and doc ument ation r equir ement s.,,No
HIPAA-0045,164.314(a)(i),Security Standards,Requirement,N/A,"A covered entity or business associate must, in accor dance with § 164.","A covered entity or business associate must, in accor dance with § 164.",,No
HIPAA-0046,164.314(a)(ii),Security Standards,Requirement,N/A,The covered entity is in compliance with paragraph.,The covered entity is in compliance with paragraph.,,No
HIPAA-0047,164.314(a)(1),Security Standards,Requirement,N/A,Of this section if it has another arrangement in place that meets the requirements of § 164.,of this section if it has another arrangement in place that meets the requirements of § 164.,,No
HIPAA-0048,164.314(a)(ii),Security Standards,Requirement,N/A,Of this section apply to the contractor other arrangement between a business associate and a subcontractor required by§ 164.,of this section apply to the contractor other arrangement between a business associate and a subcontractor required by§ 164.,,No
HIPAA-0049,164.314(a)(4),Security Standards,Requirement,N/A,In the same manner as such requir ements apply to contracts or other arrangements between a covered entity and business associate.,in the same manner as such requir ements apply to contracts or other arrangements between a covered entity and business associate.,,No
HIPAA-0050,164.314(a)(1),Security Standards,Requirement,N/A,Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to§ 164.,Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to§ 164.,,No
HIPAA-0051,164.314(a)(iii),Security Standards,Requirement,N/A,"508 , a group health plan must Ensure that its plan documents provide that the plan sponsor will r easonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.","508 , a group health plan must Ensure that its plan documents provide that the plan sponsor will r easonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",,No
HIPAA-0052,164.314(a)(2),Security Standards,Requirement,N/A,The plan documents of the group health plan must be amended to incorpor ate provisions to requir e the plan sponsor to—.,The plan documents of the group health plan must be amended to incorpor ate provisions to requir e the plan sponsor to—.,,No
HIPAA-0053,164.314(a)(i),Security Standards,Requirement,N/A,"Implement administrative, physical, and technical safeguards that r easonably and appropriately protect the confidentiality , integrity , and a vailability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;.","Implement administrative, physical, and technical safeguards that r easonably and appropriately protect the confidentiality , integrity , and a vailability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;.",,No
HIPAA-0054,164.314(a)(ii),Security Standards,Requirement,N/A,Ensure that the adequate separation required by§ 164.,Ensure that the adequate separation required by§ 164.,,No
HIPAA-0055,164.314(a)(iii),Security Standards,Requirement,N/A,Is suppor ted by reasonable and appropriate security measures;.,is suppor ted by reasonable and appropriate security measures;.,,No
HIPAA-0056,164.314(a)(iii),Security Standards,Requirement,N/A,Ensure that any agent to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and.,Ensure that any agent to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and.,,No
HIPAA-0057,164.314(a)(iv),Security Standards,Requirement,N/A,Report to the group health plan any security incidentof which it becomes aware.,Report to the group health plan any security incidentof which it becomes aware.,,No
HIPAA-0058,164.314(a)(a),Security Standards,Implementation Specification,N/A,"Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.","Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.",,No
HIPAA-0059,164.314(a)(iv),Security Standards,Implementation Specification,N/A,"This standar d is not to be construed to permitor ex cuse an action that violates any other standar d, implementation specification, or other requirements of this subpart.","This standar d is not to be construed to permitor ex cuse an action that violates any other standar d, implementation specification, or other requirements of this subpart.",,No
HIPAA-0060,164.314(a)(iv),Security Standards,Requirement,N/A,"A covered entity or business associate may change its policies and procedures at any time, provided that the changes are documented and are implemented in accor dance with this subpart.","A covered entity or business associate may change its policies and procedures at any time, provided that the changes are documented and are implemented in accor dance with this subpart.",,No
HIPAA-0061,164.314(a)(i),Security Standards,Requirement,N/A,Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0062,164.314(a)(i),Security Standards,Requirement,N/A,"( enhanced display) page 14 of 89[68 FR 8376 , Feb.","( enhanced display) page 14 of 89[68 FR 8376 , Feb.",,No
HIPAA-0063,164.314(a)(i),Security Standards,Requirement,N/A,318 Compliance dates f or t he initi al implement ation of t he sec urity st and ards.,318 Compliance dates f or t he initi al implement ation of t he sec urity st and ards.,,No
HIPAA-0064,164.314(a)(i),Security Standards,Requirement,N/A,"Appendi x A to Subpart C of Part 16 4—S ecurity Stand ards: M atr ix standards SectionsImplementation Specifications (R) = required, (A) = Addressable ADMINISTRA TIVE SAFEGU ARDS Security Management Pr ocess 164.","Appendi x A to Subpart C of Part 16 4—S ecurity Stand ards: M atr ix standards SectionsImplementation Specifications (R) = required, (A) = Addressable ADMINISTRA TIVE SAFEGU ARDS Security Management Pr ocess 164.",,No
HIPAA-0065,164.314(a)(1),Security Standards,Requirement,N/A,Risk Analysis (R) Risk Management (R) Sanction P olicy (R) Information System Activity Re view (R) Assigned Security Responsibility 164.,Risk Analysis (R) Risk Management (R) Sanction P olicy (R) Information System Activity Re view (R) Assigned Security Responsibility 164.,,No
HIPAA-0066,164.314(a)(3),Security Standards,Requirement,N/A,Authorization and/or Super vision (A) workforce Clear ance Pr ocedur e Termination procedures (A) Information Access Management 164.,Authorization and/or Super vision (A) workforce Clear ance Pr ocedur e Termination procedures (A) Information Access Management 164.,,No
HIPAA-0067,164.314(a)(ii),Security Standards,Requirement,N/A,"If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) r ecor d of the action, activity , or assessment.","If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) r ecor d of the action, activity , or assessment.",,No
HIPAA-0068,164.314(a)(1),Security Standards,Requirement,N/A,"Of this section for 6 years from the date of its cr eation or the date when it last was in eff ect, whiche ver is later.","of this section for 6 years from the date of its cr eation or the date when it last was in eff ect, whiche ver is later.",,No
HIPAA-0069,164.314(a)(ii),Security Standards,Requirement,N/A,Mak e documentation a vailable to those persons r esponsible for implementing the procedures to which the documentation per tains.,Mak e documentation a vailable to those persons r esponsible for implementing the procedures to which the documentation per tains.,,No
HIPAA-0070,164.314(a)(iii),Security Standards,Requirement,N/A,"Review documentation periodically , and update as needed, in r esponse to envir onmental or oper ational changes aff ecting the security of the electronic protected health information.","Review documentation periodically , and update as needed, in r esponse to envir onmental or oper ational changes aff ecting the security of the electronic protected health information.",,No
HIPAA-0071,164.314(a)(1),Security Standards,Requirement,N/A,"A health plan that is not a small health plan must comply with the applicable requirements of this subpart no later than April 20, 2005.","A health plan that is not a small health plan must comply with the applicable requirements of this subpart no later than April 20, 2005.",,No
HIPAA-0072,164.314(a)(2),Security Standards,Requirement,N/A,"A small health plan must comply with the applicable requirements of this subpart no later than April 20, 2006.","A small health plan must comply with the applicable requirements of this subpart no later than April 20, 2006.",,No
HIPAA-0073,164.314(a)(b),Security Standards,Requirement,N/A,"A health care clearing house must comply with the applicable requirements of this subpart no later than April 20, 2005.","A health care clearing house must comply with the applicable requirements of this subpart no later than April 20, 2005.",,No
HIPAA-0074,164.314(a)(c),Security Standards,Requirement,N/A,"A covered health care provider must comply with the applicable requirements of this subpart no later than April 20, 2005.","A covered health care provider must comply with the applicable requirements of this subpart no later than April 20, 2005.",,No
HIPAA-0075,164.314(a)(c),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0076,164.314(a)(ii),Security Standards,Requirement,N/A,"318( c) (enhanced display) page 15 of 89standards SectionsImplementation Specifications (R) = required, (A) = Addressable Access A uthorization (A) Access Establishment and Modification (A) Security A wareness and T raining 164.","318( c) (enhanced display) page 15 of 89standards SectionsImplementation Specifications (R) = required, (A) = Addressable Access A uthorization (A) Access Establishment and Modification (A) Security A wareness and T raining 164.",,No
HIPAA-0077,164.314(a)(5),Security Standards,Requirement,N/A,Security Reminders (A) Protection from Malicious Software (A) Log-in Monitoring (A) Passwor d Management (A) Security Incident procedures 164.,Security Reminders (A) Protection from Malicious Software (A) Log-in Monitoring (A) Passwor d Management (A) Security Incident procedures 164.,,No
HIPAA-0078,164.314(a)(7),Security Standards,Requirement,N/A,Data Backup Plan (R) Disaster Reco very Plan (R) Emergency Mode Oper ation Plan (R) Testing and Re vision Pr ocedur e (A) Applications and Data Criticality Analysis (A) Evaluation 164.,Data Backup Plan (R) Disaster Reco very Plan (R) Emergency Mode Oper ation Plan (R) Testing and Re vision Pr ocedur e (A) Applications and Data Criticality Analysis (A) Evaluation 164.,,No
HIPAA-0079,164.314(a)(8),Security Standards,Requirement,N/A,(R) Business Associate contracts and Other arrangement164.,(R) Business Associate contracts and Other arrangement164.,,No
HIPAA-0080,164.314(a)(1),Security Standards,Requirement,N/A,Written contractor Other arrangement (R) PHYSICAL SAFEGU ARDS Facility Access controls 164.,Written contractor Other arrangement (R) PHYSICAL SAFEGU ARDS Facility Access controls 164.,,No
HIPAA-0081,164.314(a)(1),Security Standards,Requirement,N/A,Contingency Oper ations (A) Facility Security Plan (A) Access control and validation procedures (A) Maintenance Recor ds (A) Workstation Use 164.,Contingency Oper ations (A) Facility Security Plan (A) Access control and validation procedures (A) Maintenance Recor ds (A) Workstation Use 164.,,No
HIPAA-0082,164.314(a)(1),Security Standards,Requirement,N/A,Disposal (R) Media Re-use (R) Accountability (A) Data Backup and Storage (A) TECHNICAL SAFEGU ARDS (see § 164.,Disposal (R) Media Re-use (R) Accountability (A) Data Backup and Storage (A) TECHNICAL SAFEGU ARDS (see § 164.,,No
HIPAA-0083,164.314(a)(1),Security Standards,Requirement,N/A,Unique User Identification (R) Emergency Access Pr ocedur e (R) Automatic Logoff (A) Encr yption and Decr yption (A) Audit controls 164.,Unique User Identification (R) Emergency Access Pr ocedur e (R) Automatic Logoff (A) Encr yption and Decr yption (A) Audit controls 164.,,No
HIPAA-0084,164.314(a)(1),Security Standards,Requirement,N/A,Mechanism to Authenticate electronic Protected Health Information (A) Person or Entity A uthentication 164.,Mechanism to Authenticate electronic Protected Health Information (A) Person or Entity A uthentication 164.,,No
HIPAA-0085,164.314(a)(1),Security Standards,Requirement,N/A,Integrity controls (A) Encr yption (A)45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,Integrity controls (A) Encr yption (A)45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0086,164.314(a)(1),Security Standards,Requirement,N/A,"318( c) (enhanced display) page 16 of 89Subpart D—N otif ication in t he C ase of B reac h of Unsecured P rotected H ealt h Inf ormation Sour ce: 74 FR 42767 , Aug.","318( c) (enhanced display) page 16 of 89Subpart D—N otif ication in t he C ase of B reac h of Unsecured P rotected H ealt h Inf ormation Sour ce: 74 FR 42767 , Aug.",,No
HIPAA-0087,164.314(a)(1),Security Standards,Requirement,N/A,"The requirements of this subpart shall apply with r espect to breaches of protected health information occurring on or after September 23, 2009.","The requirements of this subpart shall apply with r espect to breaches of protected health information occurring on or after September 23, 2009.",,No
HIPAA-0088,164.314(a)(1),Security Standards,Requirement,N/A,"As used in this subpart, the following terms ha ve the following meanings: Breach means the acquisition, access, use, or disclosure of protected health information in a manner not permitted under subpart E of this par twhich compr omises the security or privacy of the protected health information.","As used in this subpart, the following terms ha ve the following meanings: Breach means the acquisition, access, use, or disclosure of protected health information in a manner not permitted under subpart E of this par twhich compr omises the security or privacy of the protected health information.",,No
HIPAA-0089,164.314(a)(i),Security Standards,Requirement,N/A,"Any unintentional acquisition, access, or use of protected health information by a workforce member or person acting under the authority of a covered entity or a business associate, if such acquisition, access, or use was made in good faith and within the scope of authority and does not r esult in further use or disclosure in a manner not permitted under subpart E of this part.","Any unintentional acquisition, access, or use of protected health information by a workforce member or person acting under the authority of a covered entity or a business associate, if such acquisition, access, or use was made in good faith and within the scope of authority and does not r esult in further use or disclosure in a manner not permitted under subpart E of this part.",,No
HIPAA-0090,164.314(a)(ii),Security Standards,Requirement,N/A,"Any inadv ertent disclosure by a person who is authoriz ed to access protected health information at a covered entity or business associate to another person authoriz ed to access protected health information at the same covered entity or business associate, or or ganiz ed health care arrangement in which the covered entity par ticipates, and the information received as a r esultof such disclosure is not further used or disclosed in a manner not permitted under subpart E of this par t.","Any inadv ertent disclosure by a person who is authoriz ed to access protected health information at a covered entity or business associate to another person authoriz ed to access protected health information at the same covered entity or business associate, or or ganiz ed health care arrangement in which the covered entity par ticipates, and the information received as a r esultof such disclosure is not further used or disclosed in a manner not permitted under subpart E of this par t.",,No
HIPAA-0091,164.314(a)(iii),Security Standards,Requirement,N/A,A disclosure of protected health information where a covered entity or business associate has a good faith belief that an unauthoriz ed person to whom the disclosure was made would not reasonably ha ve been able to retain such information.,A disclosure of protected health information where a covered entity or business associate has a good faith belief that an unauthoriz ed person to whom the disclosure was made would not reasonably ha ve been able to retain such information.,,No
HIPAA-0092,164.314(a)(1),Security Standards,Requirement,N/A,"Of this definition, an acquisition, access, use, or disclosure of protected health information in a manner not permitted under subpart E is pr esumed to be a breach unless the covered entity or business associate, as applicable, demonstr ates that there is a low probability that the protected health information has been compr omised based on a risk assessmentof at least the following factors:.","of this definition, an acquisition, access, use, or disclosure of protected health information in a manner not permitted under subpart E is pr esumed to be a breach unless the covered entity or business associate, as applicable, demonstr ates that there is a low probability that the protected health information has been compr omised based on a risk assessmentof at least the following factors:.",,No
HIPAA-0093,164.314(a)(i),Security Standards,Requirement,N/A,"The natur e and extentof the protected health information inv olved, including the types of identifiers and the lik elihood of r e-identification;.","The natur e and extentof the protected health information inv olved, including the types of identifiers and the lik elihood of r e-identification;.",,No
HIPAA-0094,164.314(a)(ii),Security Standards,Requirement,N/A,The unauthoriz ed person who used the protected health information or to whom the disclosure was made;.,The unauthoriz ed person who used the protected health information or to whom the disclosure was made;.,,No
HIPAA-0095,164.314(a)(iii),Security Standards,Requirement,N/A,Whether the protected health information was actually acquir ed or viewed; and.,Whether the protected health information was actually acquir ed or viewed; and.,,No
HIPAA-0096,164.314(a)(iv),Security Standards,Requirement,N/A,The extent to which the risk to the protected health information has been mitigated.,The extent to which the risk to the protected health information has been mitigated.,,No
HIPAA-0097,164.314(a)(iv),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0098,164.314(a)(2),Security Standards,Requirement,N/A,"(i v) ( enhanced display) page 17 of 89[78 FR 5695 , Jan.","(i v) ( enhanced display) page 17 of 89[78 FR 5695 , Jan.",,No
HIPAA-0099,164.314(a)(2),Security Standards,Requirement,N/A,"Unsecur ed protected health information means protected health information that is not r ender ed unusable, unreadable, or indecipher able to unauthoriz ed persons thr ough the use of a technology or methodology specified by the Secr etary in the guidance issued under section 13402.","Unsecur ed protected health information means protected health information that is not r ender ed unusable, unreadable, or indecipher able to unauthoriz ed persons thr ough the use of a technology or methodology specified by the Secr etary in the guidance issued under section 13402.",,No
HIPAA-0100,164.314(a)(1),Security Standards,Requirement,N/A,"A covered entity shall, following the discovery of a breach of unsecur ed protected health information, notify each individual whose unsecur ed protected health information has been, or is r easonably belie ved by the covered entity to ha ve been, accessed, acquir ed, used, or disclosed as a r esultof such breach.","A covered entity shall, following the discovery of a breach of unsecur ed protected health information, notify each individual whose unsecur ed protected health information has been, or is r easonably belie ved by the covered entity to ha ve been, accessed, acquir ed, used, or disclosed as a r esultof such breach.",,No
HIPAA-0101,164.314(a)(a),Security Standards,Requirement,N/A,", a breach shall be treated as discovered by a covered entity as of the first da y on which such breach is known to the covered entity , or, by exercising reasonable diligence would ha ve been known to the covered entity.",", a breach shall be treated as discovered by a covered entity as of the first da y on which such breach is known to the covered entity , or, by exercising reasonable diligence would ha ve been known to the covered entity.",,No
HIPAA-0102,164.314(a)(a),Security Standards,Requirement,N/A,"A covered entity shall be deemed to ha ve knowledge of a breach if such breach is known, or by exercising reasonable diligence would ha ve been known, to any person, other than the person committing the breach, who is a workforce member or agentof the covered entity (determined in accor dance with the f eder al common law of agency).","A covered entity shall be deemed to ha ve knowledge of a breach if such breach is known, or by exercising reasonable diligence would ha ve been known, to any person, other than the person committing the breach, who is a workforce member or agentof the covered entity (determined in accor dance with the f eder al common law of agency).",,No
HIPAA-0103,164.314(a)(b),Security Standards,Implementation Specification,N/A,Timeliness of notification.,Implementation specification: Timeliness of notification.,,No
HIPAA-0104,164.314(a)(b),Security Standards,Requirement,N/A,"412 , a covered entity shall provide the notification required by paragraph.","412 , a covered entity shall provide the notification required by paragraph.",,No
